CODE,TITLE
9574,ПЕСЧАНИКИ                             
5741,ОСТ. ПУНКТ 153 КМ                     
4772,РОБЧИК                                
3921,ОСТ. ПУНКТ 164 КМ                     
1629,ЮЖНЫЙ ПОСТ                            
7897,ОСТ. ПУНКТ 5 КМ                       
5255,ОСТ. ПУНКТ 9 КМ                       
3054,ОСТ. ПУНКТ 6 КМ                       
9631,КЛИНЦЫ                                
1241,ТУРОСНА                               
3815,ОСТ. ПУНКТ 187 КМ                     
5298,МАНЮКИ                                
3899,ОСТ. ПУНКТ 202 КМ                     
4759,НОВОЗЫБКОВ                            
4265,ПЕРЕВОЗ                               
8778,ОСТ. ПУНКТ 221 КМ                     
2623,КАРХОВКА                              
6170,ОСТ. ПУНКТ 9 КМ                       
2320,ПОКРОВКА                              
2318,ЗЛЫНКА                                
6978,ЗЛЫНКА САИПС                          
7012,КЛИМОВ САИПС                          
4503,КЛИМОВ                                
2698,НОВОРОПСК                             
9996,ОСТ. ПУНКТ 43 КМ                      
6037,СУРАЖ (ЭКСП.)                         
8090,СУРАЖ САИПС                           
7508,СУРАЖ                                 
6554,ОСТ. ПУНКТ 228 КМ                     
2482,ИПУТЬ                                 
9640,ОСТ. ПУНКТ 238 КМ                     
3219,ДОБРИК                                
6766,СЕВЕРНЫЙ ПОСТ                         
5378,СТАРОДУБ                              
7414,ОСТ. ПУНКТ 24 КМ                      
9015,ОСТ. ПУНКТ 21 КМ                      
3872,ОСТ. ПУНКТ 18 КМ                      
9261,ЯЦКОВИЧИ                              
8849,НЕВЗОРОВО                             
8745,ГРИНЕВО                               
2547,ОСТ. ПУНКТ 50 КМ                      
8406,ОСТ. ПУНКТ 19 КМ                      
4963,ПОГАР                                 
4749,ВИТЕМЛЯ                               
7316,ВИТЕМЛЯ-ЭКСПОРТ                       
8720,ЖЕЧА                                  
4423,СУДОСТЬ                               
5338,ВИТЕМЛЯ САИПС                         
6100,СЕЛЕЦКАЯ                              
8022,ОСТ. ПУНКТ 73 КМ                      
1541,ВИТЕМЛЯ-ЭКСПОРТ                       
6362,НАВЛЯ                                 
1041,КАЛИГАЕВКА                            
4097,КЛЮКОВНИКИ                            
8467,ЧИЧКОВО                               
9169,СИНЕЗЕРКИ                             
1947,ЗЕМЛЯНИЧНАЯ                           
3169,ОСТ. ПУНКТ 427 КМ                     
6959,ДЕВИЧЬЕ                               
1199,ОСТ. ПУНКТ 439 КМ                     
1031,НАВЛЯ-ПОСТ                            
3731,АЛТУХОВО                              
2810,ОСТ. ПУНКТ 448 КМ                     
5184,ПИОНЕРСКАЯ                            
1168,КОКОРЕВКА                             
1902,ОСТ. ПУНКТ 460 КМ                     
7336,ХОЛМЕЧИ                               
4017,НЕРУССА                               
2105,ОСТ. ПУНКТ 480 КМ                     
7894,СУЗЕМКА                               
9415,ГОРОЖАНКА                             
2455,ОСТ. ПУНКТ 483 КМ                     
4662,НОВЕНЬКОЕ                             
5721,БЕЛАЯ БЕРЕЗКА                         
3097,ТРУБЧЕВСК                             
8098,СУЗЕМКА САИПС                         
2283,ТРУБЧЕВСК                             
6012,СУЗЕМКА (ЭКСП.)                       
6468,ПОГРЕБЫ                               
9738,ПОСТ 445 КМ                           
1315,БРАСОВО                               
9807,РАССОШКА                              
3934,ОСТ. ПУНКТ 463 КМ                     
7664,АРКИНО                                
5399,КОМАРИЧИ                              
3212,ОСТ. ПУНКТ 482 КМ                     
2086,УСОЖА                                 
3559,ЕВДОКИМОВКА                           
6145,ПУТЕВОЙ ПОСТ 499 КМ                   
4472,ДЕРЮГИНО                              
1677,ПОСТ 511 КМ                           
2276,ДМИТРИЕВ-ЛЬГОВСКИЙ                    
7697,РОГОЗНА                               
3488,ОСТ. ПУНКТ 525 КМ                     
8968,АРБУЗОВО                              
3812,ПОСТ 4 КМ                             
1928,ОСТ. ПУНКТ 7 КМ                       
5929,СНИЖА                                 
7355,ОСТ. ПУНКТ 14 КМ                      
2725,ОСТ. ПУНКТ 18 КМ                      
5883,ОСТ. ПУНКТ 23 КМ                      
6369,МИЦЕНЬ                                
8241,ОСТ. ПУНКТ 29 КМ                      
6404,ОСТ. ПУНКТ 536 КМ                     
5630,БЕЛАЯ БЕРЕЗКА                         
1137,ГРИНЕВКА                              
8683,ОСТ. ПУНКТ 543 КМ                     
4020,СОКОВНИНКА                            
2332,ОСТ. ПУНКТ 552 КМ                     
7364,ОСТ. ПУНКТ 557 КМ                     
6035,ПЛАТФОРМА 15 КМ                       
7047,ОСТАПОВО                              
4753,ОСТ. ПУНКТ 42 КМ                      
9476,ОСТ. ПУНКТ 48 КМ                      
7302,ОСТ. ПУНКТ 34 КМ                      
8816,МИХАЙЛОВСКИЙ РУДНИК                   
1586,ОСТ. ПУНКТ 62 КМ                      
3522,ОСТ. ПУНКТ 54 КМ                      
5156,ОСТ. ПУНКТ 58 КМ                      
7961,ОСТ. ПУНКТ 60 КМ                      
8653,КУРБАКИНСКАЯ                          
5754,ОСТ. ПУНКТ 76 КМ                      
5822,ОСТ. ПУНКТ 81 КМ                      
